초장,엽장,엽폭,엽병장,엽수,관부직경,화방 꽃수(소화수),착과수
38.0,8.0,7.0,22.0,8.0,21.0,1.0,11.0
25.0,8.0,6.0,17.0,9.0,18.0,1.0,6.0
38.0,7.0,5.0,13.0,9.0,22.0,0.0,6.0
33.1,8.7,6.9,18.9,10.5,23.4,0.4,6.1
32.4,10.4,7.4,17.0,11.6,26.0,0.8,5.4
22.0,9.0,6.0,13.0,11.0,18.0,0.0,7.0
31.5,9.5,9.0,22.0,8.5,19.5,1.0,8.5
33.3,7.4,5.8,11.9,10.1,22.8,0.8,7.2
32.9,11.6,8.8,19.0,11.4,22.6,0.7,7.0
29.0,8.5,7.0,16.5,11.5,21.0,2.0,7.0
34.0,7.0,5.5,10.0,11.0,26.0,2.0,4.5
42.0,7.0,5.0,10.0,10.0,28.0,1.0,5.0
26.0,9.0,6.0,17.0,11.0,19.0,1.0,10.0
24.0,9.0,6.0,15.0,13.0,18.0,2.0,5.0
33.0,11.0,8.0,22.0,12.0,19.0,1.0,7.0
35.3,6.0,4.7,9.0,8.0,19.0,0.3,3.0
36.0,6.0,5.0,7.0,8.0,18.0,1.0,2.0
29.0,7.0,6.0,12.0,9.0,21.0,1.0,5.0
31.0,12.0,8.0,21.0,16.0,18.0,1.0,5.0
41.0,7.0,6.0,12.0,15.0,29.0,1.0,5.0
34.0,10.0,8.0,18.0,18.0,31.0,2.0,7.0
29.0,8.0,7.0,21.0,18.0,20.0,3.0,6.0
27.0,10.0,7.0,13.0,19.0,26.0,1.0,11.0
21.0,7.0,5.5,11.5,17.5,22.5,1.0,6.0
34.0,8.0,6.0,19.0,21.0,28.0,1.0,3.0
32.0,11.0,7.0,19.0,18.0,19.0,1.0,3.0
23.0,8.0,5.0,13.0,18.0,20.0,0.0,7.0
36.0,10.0,9.0,26.0,23.0,20.0,1.0,8.0
32.0,7.0,5.0,19.0,20.0,21.0,2.0,11.0
24.0,8.0,6.0,11.0,18.0,20.0,2.0,7.0
36.0,8.0,6.0,22.0,23.0,21.0,0.0,14.0
18.0,7.0,6.0,8.0,21.0,16.0,7.0,8.0
41.0,11.0,9.0,31.0,26.0,21.0,3.0,7.0
48.0,11.0,10.0,36.0,10.0,21.0,1.0,2.0
22.0,8.0,5.0,12.0,20.0,25.0,1.0,4.0
