초장,엽장,엽폭,엽병장,엽수,관부직경,소화수,착과수
42.8,9.6,7.5,23.2,17.1,19.3,0.0,2.0
43.0,8.7,8.0,25.5,18.8,18.3,0.0,3.0
44.3,10.5,7.8,22.4,20.0,17.6,1.5,3.0
45.0,9.5,7.4,23.4,19.0,18.2,1.1,1.5
44.9,10.0,7.8,24.6,19.7,17.4,1.1,1.4
43.6,9.2,7.4,22.1,16.8,19.7,1.0,0.8
41.2,9.6,7.3,22.1,17.2,19.1,1.1,1.0
41.8,9.6,7.5,20.3,17.5,19.2,1.1,1.4
38.8,8.7,6.9,19.3,15.0,19.7,1.3,1.5
36.1,8.8,7.1,18.6,15.2,19.4,1.0,1.7
32.0,8.2,6.6,14.6,15.9,19.7,1.0,1.2
30.2,8.0,6.6,14.4,13.8,20.7,0.0,1.2
28.7,8.1,6.6,12.9,11.8,20.1,1.1,2.0
28.2,8.4,6.9,13.1,11.0,20.0,1.3,2.0
28.0,7.9,6.6,12.5,12.4,19.3,1.1,2.6
27.4,7.9,6.6,13.1,11.9,19.6,1.1,2.4
28.3,7.8,6.6,12.1,12.1,20.0,1.1,2.6
28.1,7.8,6.6,11.6,11.4,19.7,2.0,2.9
26.7,7.6,6.0,11.0,10.9,20.0,0.0,2.1
26.8,8.2,6.8,12.0,10.1,19.2,1.4,2.9
27.8,8.8,7.1,12.8,10.5,20.3,1.1,3.0
28.3,9.5,7.9,12.8,10.2,20.0,1.1,4.2
30.6,10.4,8.7,14.5,9.4,19.2,1.0,5.8
33.8,10.1,8.3,16.9,8.7,19.4,3.0,5.3
27.9,10.1,8.6,11.7,9.4,17.3,2.5,5.9
26.9,9.4,7.9,11.0,8.2,18.3,1.0,4.0
26.5,9.4,7.9,11.0,8.5,18.4,2.0,4.6
23.1,9.0,7.8,9.2,9.3,20.1,0.0,8.2
22.3,9.4,8.1,9.6,7.7,17.3,1.0,6.5
23.9,9.5,8.0,9.5,9.2,18.0,2.0,7.2
23.3,9.5,8.2,8.9,7.6,16.5,1.9,6.3
22.7,9.3,8.1,8.7,7.6,15.7,1.5,4.0
22.5,9.1,8.1,8.4,6.3,15.1,1.6,3.5
21.9,9.2,7.8,8.4,6.9,15.0,1.3,3.1
20.3,9.0,7.9,7.6,6.0,13.5,1.0,2.0
