초장,엽장,엽폭,엽병장,엽수,관부직경,화방 꽃수(소화수),착과수,최종화방차수
38.0,8.0,7.0,22.0,8.0,21.0,1.0,11.0,2.0
25.0,8.0,6.0,17.0,9.0,18.0,1.0,6.0,2.0
38.0,7.0,5.0,13.0,9.0,22.0,0.0,6.0,3.0
33.13529411764706,8.717647058823529,6.858823529411764,18.894117647058824,10.547058823529412,23.370588235294118,0.4294117647058823,6.147058823529412,1.4352941176470588
32.429752066115704,10.380165289256198,7.396694214876033,17.016528925619834,11.611570247933884,25.950413223140497,0.8099173553719008,5.396694214876033,0.4214876033057851
22.0,9.0,6.0,13.0,11.0,18.0,0.0,7.0,2.0
31.5,9.5,9.0,22.0,8.5,19.5,1.0,8.5,2.0
33.270270270270274,7.351351351351352,5.783783783783784,11.891891891891891,10.054054054054054,22.83783783783784,0.7837837837837838,7.243243243243243,2.5675675675675675
32.925925925925924,11.555555555555555,8.777777777777779,19.0,11.444444444444445,22.555555555555557,0.7037037037037037,6.962962962962963,0.8148148148148148
29.0,8.5,7.0,16.5,11.5,21.0,2.0,7.0,1.5
34.0,7.0,5.5,10.0,11.0,26.0,2.0,4.5,3.0
42.0,7.0,5.0,10.0,10.0,28.0,1.0,5.0,3.0
26.0,9.0,6.0,17.0,11.0,19.0,1.0,10.0,3.0
24.0,9.0,6.0,15.0,13.0,18.0,2.0,5.0,3.0
33.0,11.0,8.0,22.0,12.0,19.0,1.0,7.0,3.0
35.333333333333336,6.0,4.666666666666667,9.0,8.0,19.0,0.3333333333333333,3.0,2.3333333333333335
36.0,6.0,5.0,7.0,8.0,18.0,1.0,2.0,3.0
29.0,7.0,6.0,12.0,9.0,21.0,1.0,5.0,3.0
31.0,12.0,8.0,21.0,16.0,18.0,1.0,5.0,4.0
41.0,7.0,6.0,12.0,15.0,29.0,1.0,5.0,4.0
34.0,10.0,8.0,18.0,18.0,31.0,2.0,7.0,4.0
29.0,8.0,7.0,21.0,18.0,20.0,3.0,6.0,4.0
27.0,10.0,7.0,13.0,19.0,26.0,1.0,11.0,5.0
21.0,7.0,5.5,11.5,17.5,22.5,1.0,6.0,4.5
34.0,8.0,6.0,19.0,21.0,28.0,1.0,3.0,5.0
32.0,11.0,7.0,19.0,18.0,19.0,1.0,3.0,5.0
23.0,8.0,5.0,13.0,18.0,20.0,0.0,7.0,6.0
36.0,10.0,9.0,26.0,23.0,20.0,1.0,8.0,5.0
32.0,7.0,5.0,19.0,20.0,21.0,2.0,11.0,6.0
24.0,8.0,6.0,11.0,18.0,20.0,2.0,7.0,7.0
36.0,8.0,6.0,22.0,23.0,21.0,0.0,14.0,7.0
18.0,7.0,6.0,8.0,21.0,16.0,7.0,8.0,7.0
41.0,11.0,9.0,31.0,26.0,21.0,3.0,7.0,6.0
48.0,11.0,10.0,36.0,10.0,21.0,1.0,2.0,6.0
22.0,8.0,5.0,12.0,20.0,25.0,1.0,4.0,3.0
